iter	RMSE
539	16330.5916
540	16307.23117
541	16296.7761
542	16286.85959
543	16280.4337
544	16268.66903
545	16249.17757
546	16230.09244
547	16209.33035
548	16195.35423
549	16180.17204
550	16171.01605
551	16153.35602
552	16138.84014
553	16124.96254
554	16106.81463
555	16089.00348
556	16083.49479
557	16068.43496
558	16056.67353
559	16041.01307
560	16032.37049
561	16020.01383
562	16011.85481
563	15991.43473
564	15972.21626
565	15961.2208
566	15951.90025
567	15937.82378
568	15914.45507
569	15903.67289
570	15882.97278
571	15876.78665
572	15870.76596
573	15857.49671
574	15844.21831
575	15833.46682
576	15825.44735
577	15816.70749
578	15804.6469
579	15789.38363
580	15781.54864
581	15774.6204
582	15765.46062
583	15760.59005
584	15747.79133
585	15738.0071
586	15724.76421
587	15715.62319
588	15710.37704
589	15698.46099
590	15681.58919
591	15676.32619
592	15662.66844
593	15651.91374
594	15638.54333
595	15625.15323
596	15622.1846
597	15611.85339
598	15597.55406
599	15589.58179
600	15581.64557
601	15575.10361
602	15561.91866
603	15546.35448
604	15536.95904
605	15529.13358
606	15524.10148
607	15514.10037
608	15500.27279
609	15492.25751
610	15484.8791
611	15473.08046
612	15458.63935
613	15443.76714
614	15426.7724
615	15422.03953
616	15419.39815
617	15415.05035
618	15409.69725
619	15389.54831
620	15376.18082
621	15367.63989
622	15352.78613
623	15346.74728
624	15329.61009
625	15320.62289
626	15309.49956
627	15299.53093
628	15287.75942
629	15278.16889
630	15269.79574
631	15260.06644
632	15253.10546
633	15246.82237
634	15234.61692
635	15228.17252
636	15215.98834
637	15203.1278
638	15196.37558
639	15189.55187
640	15183.6272
641	15172.0984
642	15163.72771
643	15159.47002
644	15151.81818
645	15132.68545
646	15120.84453
647	15105.5856
648	15092.63851
649	15071.73877
650	15063.16243
651	15048.6578
652	15043.79385
653	15040.32584
654	15021.59922
655	15009.61083
656	15005.35708
657	14998.14424
658	14977.28769
659	14965.39081
660	14946.14657
661	14926.50397
662	14917.07084
663	14907.44968
664	14890.75981
665	14886.64682
666	14880.07474
667	14875.39375
668	14871.70098
669	14853.35553
670	14848.85685
671	14827.07664
672	14811.33004
673	14806.59826
674	14793.32914
675	14789.04201
676	14782.50458
677	14768.29029
678	14756.38038
679	14744.87655
680	14737.58028
681	14725.85595
682	14712.32698
683	14700.2749
684	14698.34277
685	14687.53592
686	14669.99093
687	14664.08227
688	14653.4321
689	14642.53533
690	14636.06325
691	14623.57076
692	14622.08613
693	14608.94067
694	14600.05458
695	14594.9017
696	14579.97653
697	14571.64955
698	14562.2141
699	14545.28153
700	14540.4068
701	14522.99069
702	14518.52793
703	14500.9448
704	14491.89372
705	14483.15642
706	14477.27868
707	14463.25308
708	14453.72315
709	14445.58217
710	14430.94845
711	14421.39345
712	14407.92962
713	14395.43879
714	14388.54309
715	14377.82512
716	14366.57457
717	14359.69673
718	14347.93009
719	14340.27795
720	14326.40486
721	14312.94561
722	14305.5966
723	14293.28547
724	14278.88407
725	14271.20998
726	14258.76926
727	14250.76989
728	14239.65363
729	14226.91964
730	14215.916
731	14211.84032
732	14198.13977
733	14187.82778
734	14185.24417
735	14181.17442
736	14173.66753
737	14169.52872
738	14154.25495
739	14147.81263
740	14145.62987
741	14133.76042
742	14114.16638
743	14109.22793
744	14105.97347
745	14101.34702
746	14093.19576
747	14082.49934
748	14068.78853
749	14061.30128
750	14051.03082
751	14046.83342
752	14039.26552
753	14036.75392
754	14028.66526
755	14016.69561
756	14012.60445
757	14010.40261
758	13995.68423
759	13991.84613
760	13985.5871
761	13977.09724
762	13975.00026
763	13961.59037
764	13950.3479
765	13945.89624
766	13931.85621
767	13922.33032
768	13907.77086
769	13898.16859
770	13887.30522
771	13871.4179
772	13868.31996
773	13859.24362
774	13850.53759
775	13844.70457
776	13839.83046
777	13826.97417
778	13814.66345
779	13803.46274
780	13798.29465
781	13788.98664
782	13780.55855
783	13770.26086
784	13762.13735
785	13749.805
786	13741.93176
787	13732.21023
788	13728.41244
789	13720.98624
790	13714.81713
791	13703.31908
792	13702.92846
793	13699.78487
794	13681.91369
795	13670.46849
796	13661.64018
797	13658.79508
798	13649.28313
799	13643.51922
800	13642.07445
801	13630.62639
802	13617.76888
803	13606.66529
804	13599.26629
805	13588.29406
806	13583.50443
807	13575.60617
808	13558.02108
809	13551.35752
810	13542.68939
811	13532.79651
812	13523.8223
813	13512.20916
814	13509.77587
815	13495.06719
816	13492.42941
817	13482.61377
818	13470.91288
819	13461.26887
820	13457.1753
821	13445.62398
822	13443.23138
823	13437.2417
824	13428.06419
825	13419.88262
826	13409.36956
827	13396.06219
828	13384.71797
829	13373.87406
830	13362.21159
831	13358.25988
832	13343.44356
833	13335.06724
834	13325.17935
835	13319.94573
836	13310.09057
837	13294.54656
838	13281.15726
839	13271.60924
840	13262.99745
841	13253.69162
842	13247.30522
843	13243.34469
844	13235.08846
845	13223.0238
846	13213.826
847	13204.03952
848	13196.2228
849	13188.07574
850	13184.17474
851	13180.05322
852	13170.74447
853	13161.61648
854	13153.94498
855	13148.52392
856	13146.25532
857	13143.23506
858	13135.47713
859	13131.63598
860	13124.54817
861	13118.5917
862	13108.07256
863	13100.72479
864	13096.88678
865	13086.42221
866	13081.58551
867	13079.54749
868	13077.59415
869	13068.80749
870	13057.7064
871	13055.44706
872	13052.17464
873	13043.92032
874	13031.8238
875	13026.92524
876	13014.24579
877	13013.2683
878	13007.11874
879	13002.88362
880	12998.91868
881	12995.58941
882	12989.99598
883	12984.06639
884	12973.28642
885	12969.53807
886	12964.39904
887	12955.60213
888	12948.81054
889	12940.4467
890	12939.18296
891	12935.64464
892	12930.23743
893	12925.17812
894	12912.43997
895	12896.74316
896	12887.44052
897	12883.62938
898	12876.75911
899	12865.14631
900	12860.16888
901	12851.43628
902	12844.30958
903	12834.84489
904	12827.87669
905	12823.24318
906	12820.49377
907	12813.23026
908	12810.75192
909	12807.08576
910	12801.61278
911	12799.5018
912	12793.28736
913	12786.29163
914	12779.41397
915	12769.82996
916	12760.95836
917	12750.34595
918	12743.79851
919	12738.95306
920	12732.63234
921	12730.46794
922	12725.19076
923	12720.4976
924	12711.43332
925	12711.01012
926	12704.37356
927	12698.18572
928	12691.24988
929	12683.34796
930	12676.21344
931	12668.42633
932	12661.58081
933	12649.03107
934	12644.97375
935	12642.74415
936	12630.5912
937	12625.18709
938	12616.23226
939	12613.10242
940	12608.68513
941	12603.20574
942	12601.17837
943	12591.8368
944	12583.15288
945	12573.82677
946	12562.86108
947	12551.49448
948	12537.45913
949	12535.36222
950	12528.76704
951	12522.67194
952	12518.02874
953	12508.76859
954	12504.7381
955	12500.54015
956	12493.69335
957	12492.30797
958	12483.78505
959	12480.9541
960	12474.09772
961	12466.5078
962	12457.74153
963	12447.55134
964	12444.7871
965	12429.85164
966	12424.80573
967	12418.07844
968	12417.25942
969	12408.99678
970	12402.34065
971	12399.19137
972	12394.46436
973	12382.25335
974	12374.56667
975	12371.24036
976	12368.07687
977	12351.39167
978	12344.45636
979	12341.82888
980	12335.50089
981	12329.26986
982	12323.28058
983	12320.83626
984	12310.83295
985	12304.53678
986	12300.88524
987	12293.2065
988	12292.03351
989	12289.59062
990	12277.17765
991	12268.5787
992	12262.70895
993	12258.57198
994	12250.45473
995	12249.19636
996	12237.46129
997	12229.28513
998	12225.92126
999	12222.02748
